Name;Age;Nationality;Overall;Potential;Club;Preferred Foot;Work Rate;Real Face;Position;Finishing;HeadingAccuracy;Dribbling;BallControl;Acceleration;Agility;ShotPower;Stamina;Strength;Aggression;Penalties
A. Costa;32;Italy;72;72;Benevento;Left;Medium/ Medium;No;RCB;27;68;59;62;67;68;62;65;73;72;37
A. Morales;28;United States;72;72;Fortuna Düsseldorf;Right;High/ High;No;CM;53;55;68;73;75;74;70;87;68;81;45
S. Longo;26;Italy;72;74;SD Huesca;Right;High/ Medium;No;ST;71;67;71;72;74;75;73;65;76;80;64
L. Höler;23;Germany;72;75;SC Freiburg;Right;High/ High;No;ST;72;71;67;66;67;66;74;78;75;65;63
Torrejón;32;Spain;72;72;1. FC Union Berlin;Right;Medium/ Medium;No;CB;23;71;48;52;37;50;59;58;81;77;46
Rogerinho;31;Brazil;72;72;Al Faisaly;Right;High/ Medium;No;CAM;68;61;78;75;83;83;70;62;58;63;65
Zhang Xizhe;27;China PR;72;72;Beijing Sinobo Guoan FC;Right;High/ Medium;No;RF;67;40;74;70;71;75;67;62;53;70;73
Vítor Gomes;30;Portugal;72;72;CD Aves;Right;Medium/ Medium;No;RCM;59;70;71;74;55;63;77;68;75;77;59
R. van La Parra;27;Netherlands;72;72;Huddersfield Town;Right;Medium/ Medium;Yes;LM;58;38;82;78;79;75;67;63;66;58;63
V. Le Goff;28;France;72;72;FC Lorient;Left;High/ Medium;No;LB;58;42;70;71;73;78;60;80;62;62;43
Albentosa;29;Spain;72;72;Gimnàstic de Tarragona;Right;Medium/ Medium;No;CB;51;70;32;54;31;33;54;65;91;84;42
S. Khaoui;23;Tunisia;72;76;Stade Malherbe Caen;Left;Medium/ Medium;No;CAM;60;34;74;75;72;76;74;66;49;42;49
H. Goitom;33;Eritrea;72;72;AIK;Right;Medium/ Medium;No;LS;69;70;68;74;56;52;71;62;89;63;70
T. Howard;39;United States;72;72;Colorado Rapids;Right;Medium/ Medium;Yes;GK;13;12;13;29;49;38;26;26;74;34;33
C. Obasi;32;Nigeria;72;72;IF Elfsborg;Right;Medium/ Medium;No;ST;73;68;75;74;68;76;69;62;72;65;66
G. Fofana;25;France;72;77;En Avant de Guingamp;Right;Medium/ High;No;CDM;58;54;70;72;61;62;67;73;80;65;52
L. Andersen;23;Denmark;72;78;Aalborg BK;Right;Medium/ Low;No;LS;66;50;77;78;79;87;71;73;64;24;48
D. Linsmayer;26;Germany;72;74;SV Sandhausen;Left;Medium/ Medium;No;RDM;45;63;62;69;66;61;51;91;75;63;45
M. Goicoechea;30;Uruguay;72;72;Toulouse Football Club;Right;Medium/ Medium;No;GK;16;19;14;18;47;33;25;37;66;39;22
Dankler;26;Brazil;72;74;Vitória de Setúbal;Right;Medium/ High;No;RCB;38;70;48;57;59;28;56;67;86;75;41
J. Arango;27;Colombia;72;73;Al Batin;Right;High/ Medium;No;LS;72;41;74;70;76;76;78;63;71;83;72
C. Chimino;30;Argentina;72;72;Club Atlético Huracán;Right;Medium/ Medium;No;RB;35;57;61;64;78;67;60;86;67;70;62
A. Traoré;23;Mali;72;77;AS Monaco;Left;Medium/ Medium;No;CM;52;55;75;75;67;64;57;65;66;68;53
S. Viera;35;Uruguay;72;72;Junior FC;Right;Medium/ Medium;No;GK;8;14;7;24;41;45;33;28;60;30;24
L. Montes;32;Mexico;72;72;Club León;Left;High/ Medium;No;CAM;67;46;67;70;67;82;71;75;59;70;68
J. Garro;25;Argentina;72;73;Club Atlético Huracán;Right;High/ High;No;LM;71;76;72;72;80;72;72;74;74;31;66
A. Warda;24;Egypt;72;75;PAOK;Right;High/ Low;No;RM;60;33;76;71;80;65;63;61;42;33;63
Varela;33;Portugal;72;72;Kayserispor;Right;Medium/ Medium;No;LM;72;64;75;72;75;74;85;55;76;48;74
M. Cuisance;18;France;72;85;Borussia Mönchengladbach;Left;Medium/ Medium;No;CM;59;49;75;74;79;84;78;64;47;57;61
J. Mercier;38;Argentina;72;72;Atlético Tucumán;Right;Low/ High;No;RDM;57;63;66;74;65;67;72;37;80;75;60
E. Hallfreðsson;34;Iceland;72;72;Frosinone;Left;High/ High;No;LCM;50;60;74;75;62;61;80;54;77;76;69
T. Sušić;26;Bosnia Herzegovina;72;74;VVV-Venlo;Left;Medium/ Medium;No;LCM;66;60;75;76;66;69;71;61;72;69;71
E. Gnahoré;24;France;72;77;Amiens SC;Right;High/ Medium;No;LDM;63;58;74;74;68;61;66;72;81;65;57
N. Bertolo;32;Argentina;72;72;Club Atlético Banfield;Right;High/ Low;No;LM;67;60;76;72;65;79;72;66;68;63;57
K. Nordfeldt;29;Sweden;72;74;Swansea City;Right;Medium/ Medium;Yes;GK;13;13;14;24;55;58;19;33;74;24;13
R. Varga;28;Hungary;72;72;;Right;Medium/ Medium;No;RW;66;69;71;72;85;74;71;72;68;62;63
S. Yago;25;Burkina Faso;72;77;Toulouse Football Club;Right;Medium/ High;No;RB;34;67;68;68;66;65;59;76;74;82;52
Hugo Rubiães;34;Brazil;72;72;Fluminense;Right;Medium/ Medium;No;CDM;55;61;67;71;76;78;74;67;67;67;53
J. Okore;25;Denmark;72;76;Aalborg BK;Right;Medium/ High;Yes;RCB;34;72;57;61;73;64;67;76;88;77;33
Y. Bammou;26;Morocco;72;73;Stade Malherbe Caen;Right;Medium/ High;No;ST;72;74;73;74;65;70;75;66;74;83;67
B. Caicedo;26;Ecuador;72;75;;Left;Medium/ Medium;No;LB;51;44;66;63;87;80;52;70;57;64;59
A. Silbeira;22;Paraguay;72;72;;Right;Medium/ Medium;No;GK;12;20;16;30;41;54;19;36;72;24;30
N. Powell;24;England;72;76;Wigan Athletic;Right;Medium/ Medium;Yes;CAM;71;64;71;73;72;68;70;70;64;59;68
O. Alanís;29;Mexico;72;72;Real Oviedo;Left;Low/ High;No;CB;33;75;57;66;36;49;69;68;70;70;67
Carleto Costinha;26;Brazil;72;72;Fluminense;Right;Medium/ Low;No;RCM;68;47;71;74;88;81;61;63;44;42;77
R. Williams;29;Australia;72;72;Al Qadisiyah;Right;Medium/ Medium;No;LCB;43;69;66;62;61;58;68;74;82;80;38
G. Charbonnier;29;France;72;72;Stade Brestois 29;Right;High/ Low;No;ST;75;72;70;72;34;70;74;60;85;39;71
J. Egan;25;Republic of Ireland;72;77;Sheffield United;Right;Medium/ Medium;No;CB;43;72;55;62;65;60;62;75;81;71;42
L. Olaza;23;Uruguay;72;78;Boca Juniors;Left;High/ Medium;No;LB;50;46;68;73;73;68;79;75;65;70;72
M. Kosanović;28;Serbia;72;73;Standard de Liège;Left;Low/ Medium;No;CB;22;74;57;64;50;49;82;66;84;70;70
F. Cerro;30;Argentina;72;72;Defensa y Justicia;Right;Medium/ Medium;No;CM;59;59;67;70;72;67;73;89;80;68;53
S. Naismith;31;Scotland;72;72;Heart of Midlothian;Right;High/ High;Yes;CAM;71;75;68;70;74;75;74;78;76;86;70
Mauro Riboas;26;Brazil;72;72;Cruzeiro;Right;Medium/ Medium;No;RAM;44;42;71;75;67;74;77;46;53;69;69
Rafael Lopes;26;Portugal;72;73;Boavista FC;Right;Medium/ Medium;No;ST;76;72;64;67;67;64;78;81;77;75;72
David García;36;Spain;72;72;UD Las Palmas;Right;Medium/ Medium;Yes;RCB;50;72;49;68;55;56;49;68;76;78;51
A. Mosquera;28;Colombia;72;74;Club León;Right;Medium/ High;No;CB;36;74;44;59;76;70;58;74;76;76;31
O. Idrissi;22;Netherlands;72;79;AZ Alkmaar;Right;High/ Medium;No;LW;69;58;81;77;84;77;78;66;66;68;45
Yu Hanchao;31;China PR;72;72;Guangzhou Evergrande Taobao FC;Left;High/ Medium;No;LM;65;58;72;70;75;80;65;89;68;64;64
Hong Jeong Ho;28;Korea Republic;72;72;Jeonbuk Hyundai Motors;Right;Low/ High;No;RCB;43;76;49;58;77;65;55;72;76;72;46
M. Schmiedebach;29;Germany;72;72;1. FC Union Berlin;Right;High/ High;No;CDM;31;54;69;70;72;75;68;76;65;78;49
S. Badji;28;Senegal;72;72;Bursaspor;Right;Medium/ High;No;RDM;46;67;56;60;68;64;78;83;78;78;46
R. Gómez;25;Argentina;72;75;Unión de Santa Fe;Right;High/ Low;No;LM;65;49;74;71;83;87;72;88;34;68;67
D. Limnios;20;Greece;72;80;PAOK;Right;High/ Low;No;RM;66;42;77;73;80;77;70;66;56;50;55
René;34;Spain;72;72;UD Almería;Right;Medium/ Medium;No;GK;18;17;14;19;51;62;23;24;67;29;21
S. Scuffet;22;Italy;72;82;Udinese;Right;Medium/ Medium;No;GK;20;18;13;21;50;60;19;40;65;35;18
J. Rinne;25;Sweden;72;77;Aalborg BK;Left;Medium/ Medium;No;GK;15;16;16;20;46;47;19;28;63;27;26
L. Agbenyenu;21;Ghana;72;80;Sporting CP;Left;Medium/ Medium;No;LB;45;59;71;69;78;77;52;78;65;75;34
Marcão;24;Brazil;72;77;Gyeongnam FC;Right;Medium/ Low;No;ST;75;73;64;69;68;55;75;74;85;66;62
J. Sala;26;Italy;72;73;Sampdoria;Right;High/ Medium;No;RB;50;60;70;72;71;72;72;73;71;74;62
A. Bamba;28;Ivory Coast;72;72;Angers SCO;Right;Medium/ Medium;No;RWB;28;62;61;69;80;78;50;81;72;65;38
R. Quioto;26;Honduras;72;72;Houston Dynamo;Right;High/ Medium;No;LM;70;70;73;69;81;85;68;69;65;78;63
Santi da Bruma;34;Brazil;72;72;Bahia;Right;High/ Low;No;ST;73;67;74;75;87;92;61;80;42;45;71
Y. En-Nesyri;21;Morocco;72;78;CD Leganés;Left;High/ High;No;LS;73;69;74;72;75;68;70;64;64;57;59
S. Jung;28;Germany;72;72;VfL Wolfsburg;Right;High/ Medium;Yes;RB;42;61;71;74;71;68;72;47;66;76;44
R. Matos;25;Brazil;72;75;Hellas Verona;Right;Medium/ Medium;No;RW;67;64;79;79;75;79;70;71;66;56;66
Thiago Alminxa;26;Brazil;72;72;América FC (Minas Gerais);Right;High/ Low;No;ST;72;61;75;74;81;63;62;55;71;53;55
J. Lucumi;23;Colombia;72;80;Atlético Nacional;Right;High/ Medium;No;LM;69;32;76;71;80;79;70;82;58;74;56
T. Chevalier;31;France;72;72;KV Kortrijk;Right;High/ Medium;No;LS;74;58;73;71;79;74;75;72;68;77;65
S. Polter;27;Germany;72;73;1. FC Union Berlin;Right;Medium/ Medium;No;ST;74;74;63;67;65;58;77;73;90;80;55
M. Møller Dæhli;23;Norway;72;77;FC St. Pauli;Right;Medium/ Low;No;LM;53;20;80;80;83;87;48;64;46;26;56
O. Boumal;28;Cameroon;72;72;Yokohama F. Marinos;Left;High/ Low;No;RM;63;46;72;71;86;80;70;75;65;62;61
K. Boyd;34;Scotland;72;72;Kilmarnock;Right;Medium/ Low;Yes;ST;75;74;55;70;40;64;80;54;88;68;75
Douglas;27;Brazil;72;72;Sivasspor;Right;High/ Medium;Yes;RB;59;49;79;70;78;82;78;66;54;69;59
M. Malyshev;25;Ukraine;72;78;Shakhtar Donetsk;Right;Medium/ Medium;No;CDM;58;56;64;70;70;74;78;80;73;70;44
M. Zaracho;20;Argentina;72;85;Racing Club;Right;High/ Medium;No;RM;60;49;77;72;89;90;61;73;55;55;57
M. Shaparenko;19;Ukraine;72;85;Dynamo Kyiv;Right;High/ High;No;CAM;70;41;72;71;59;70;51;65;50;57;45
J. Boye;31;Ghana;72;72;FC Metz;Right;Medium/ High;No;LCB;36;75;54;58;73;75;43;71;75;81;28
V. Regini;27;Italy;72;72;Sampdoria;Left;Medium/ Medium;No;LB;32;64;56;64;68;68;68;69;72;70;43
H. Martín;25;Mexico;72;75;Club América;Right;High/ Low;No;ST;73;73;72;71;78;90;72;78;47;51;63
C. Galano;27;Italy;72;72;Foggia;Left;High/ Low;No;RS;67;43;70;72;91;95;61;92;62;49;56
Cristian Lodeira;26;Brazil;72;72;Vitória;Right;Medium/ Medium;No;ST;70;65;75;72;82;88;72;63;45;40;65
Josué Sá;26;Portugal;72;76;Kasimpaşa SK;Right;Medium/ Medium;No;CB;34;72;63;68;51;61;48;70;76;72;40
L. Menossi;24;Argentina;72;76;Club Atlético Tigre;Right;Medium/ Medium;No;RDM;49;47;68;72;83;91;76;86;36;63;57
Adrián Marín;21;Spain;72;81;Deportivo Alavés;Left;Medium/ Medium;No;LB;40;59;69;73;68;69;60;62;72;69;38
Aleñá;20;Spain;72;85;FC Barcelona;Left;High/ Medium;No;CM;66;34;76;75;78;75;66;66;63;52;73
D. Maresic;18;Austria;72;84;SK Sturm Graz;Right;Medium/ Medium;No;LCB;26;64;45;54;59;60;56;73;74;62;35
O. Lewicki;25;Sweden;72;75;Malmö FF;Right;Medium/ High;No;LCM;45;68;57;66;62;83;64;82;70;75;48
P. Bernardoni;21;France;72;82;Nîmes Olympique;Left;Medium/ Medium;No;GK;13;21;16;25;31;21;19;30;46;29;19
Walter Silvieiro;26;Brazil;72;72;Sport Club do Recife;Right;High/ Low;No;ST;77;70;63;67;73;64;76;66;59;59;76
M. Waghorn;28;England;72;72;Derby County;Left;Medium/ High;No;ST;75;66;67;64;67;62;77;72;79;70;70
D. Álvarez;23;Mexico;72;77;Club Necaxa;Right;High/ Medium;No;RM;52;54;77;72;89;79;70;69;66;30;61
M. Castagnetti;28;Italy;72;72;US Cremonese;Left;Medium/ High;No;CM;65;64;67;70;74;69;75;88;77;70;58
A. Davies;17;Canada;72;87;Vancouver Whitecaps FC;Left;High/ High;Yes;RM;64;51;76;73;92;84;71;76;69;68;60
L. Mabiala;30;DR Congo;72;72;Portland Timbers;Right;Low/ Medium;No;RCB;38;77;51;56;40;36;46;74;88;76;63
Y. Abdelhamid;30;Morocco;72;72;Stade de Reims;Left;Medium/ High;No;LCB;24;72;17;55;50;39;43;66;82;70;42
P. Rubio;29;Chile;72;72;CD Everton de Viña del Mar;Right;High/ Low;No;ST;74;69;69;70;74;73;71;81;71;58;68
C. Strandberg;22;Sweden;72;78;Malmö FF;Left;Medium/ Low;No;ST;70;66;67;68;79;56;78;72;90;58;57
A. Shabanov;26;Ukraine;72;77;Dynamo Kyiv;Right;Medium/ Medium;No;CB;23;73;23;48;58;48;34;68;72;68;37
G. Brugman;25;Uruguay;72;74;Pescara;Right;High/ Medium;No;CM;48;51;69;72;74;83;68;76;59;62;67
Josué da Feira;26;Brazil;72;72;Vitória;Right;Medium/ Medium;No;ST;75;69;68;77;70;63;73;65;53;49;67
C. Pinsoglio;28;Italy;72;72;Juventus;Left;Medium/ Medium;No;GK;11;13;18;22;43;36;18;34;60;32;22
W. Foderingham;27;England;72;75;Rangers FC;Left;Medium/ Medium;No;GK;13;20;12;28;46;62;23;34;71;30;14
D. Arias;33;Colombia;72;72;Once Caldas;Right;Medium/ High;No;CDM;53;59;67;74;67;75;72;76;64;78;60
D. Bouanga;23;Gabon;72;77;Nîmes Olympique;Right;Medium/ Medium;No;LM;74;53;75;71;79;74;75;67;68;56;48
M. Olunga;24;Kenya;72;79;Kashiwa Reysol;Left;High/ Low;No;ST;73;69;70;71;66;60;76;71;85;70;55
Murilo;23;Brazil;72;78;SC Braga;Left;Medium/ Low;No;RM;69;58;77;76;85;78;76;64;70;30;70
T. Trybull;25;Germany;72;74;Norwich City;Right;Medium/ High;No;CDM;35;58;63;67;66;69;61;82;74;80;55
I. Kiese Thelin;26;Sweden;72;74;Bayer 04 Leverkusen;Right;High/ Medium;No;ST;71;78;65;72;46;61;71;77;85;71;72
T. Cardona;22;Argentina;72;78;Godoy Cruz;Left;Low/ Medium;No;LCB;48;77;50;61;46;66;49;80;83;76;59
C. Fassnacht;24;Switzerland;72;75;BSC Young Boys;Right;High/ Medium;No;RM;70;68;69;74;79;72;67;72;68;44;63
Y. Ouattara;34;Ivory Coast;72;72;;Left;High/ Medium;No;RW;64;45;75;71;87;86;74;71;57;42;73
Quique;28;Spain;72;72;Deportivo de La Coruña;Left;Medium/ High;No;RS;72;68;68;65;75;80;69;67;73;49;71
M. Günok;29;Turkey;72;73;Medipol Başakşehir FK;Right;Medium/ Medium;No;GK;15;14;15;25;55;53;24;39;71;35;16
T. Kalas;25;Czech Republic;72;76;Bristol City;Right;Medium/ Medium;No;LCB;38;73;61;64;71;67;66;74;76;66;53
A. Briançon;23;France;72;76;Nîmes Olympique;Right;Medium/ High;No;RCB;34;71;45;60;66;57;68;76;81;76;43
S. Abdullahi;25;Nigeria;72;75;Bursaspor;Right;Medium/ High;No;CB;36;67;62;68;75;66;62;82;76;68;51
L. Štetina;26;Slovakia;72;74;Sparta Praha;Right;Medium/ High;No;CB;21;71;41;54;61;60;82;67;88;81;28
K. Kerschbaumer;26;Austria;72;73;FC Ingolstadt 04;Right;High/ High;No;RDM;63;48;67;70;69;72;72;88;70;76;55
J. Tallo;25;Ivory Coast;72;76;Vitória Guimarães;Right;Medium/ Low;No;ST;71;65;73;71;67;65;74;67;76;72;64
P. Díaz;23;Chile;72;79;Al Ahli;Right;Low/ High;No;LCB;37;71;62;67;77;64;49;76;77;61;49
C. Gruezo;23;Ecuador;72;79;FC Dallas;Right;Low/ High;No;CDM;41;58;60;70;67;71;61;78;72;85;49
P. Gallese;28;Peru;72;73;Tiburones Rojos de Veracruz;Right;Medium/ Medium;No;GK;20;18;19;22;45;34;24;30;49;22;22
J. Morrison;32;Scotland;72;72;West Bromwich Albion;Right;Medium/ Medium;Yes;LCM;70;63;73;75;60;70;80;60;61;69;69
J. Foyth;20;Argentina;72;85;Tottenham Hotspur;Right;Medium/ High;Yes;CB;43;73;66;69;71;72;56;65;71;58;47
D. Villalva;25;Argentina;72;73;Querétaro;Right;Medium/ Medium;No;RW;65;61;78;74;79;85;72;72;32;43;63
B. Acosta;24;Honduras;72;76;CD Tenerife;Right;High/ High;No;LM;62;63;64;68;83;81;86;84;78;84;62
R. Vargas;31;Venezuela;72;72;Newcastle Jets;Right;Medium/ Medium;No;CAM;69;38;74;74;74;73;66;44;58;43;64
M. Ducksch;24;Germany;72;76;Fortuna Düsseldorf;Right;Medium/ Medium;No;ST;73;72;64;71;64;63;74;66;74;55;49
N. Asare;31;Ghana;72;72;KAA Gent;Left;High/ High;No;LB;48;63;69;71;70;74;61;77;64;70;66
J. Gressel;24;Germany;72;78;Atlanta United;Right;High/ Medium;No;RM;66;62;69;70;72;62;69;86;76;72;55
T. Oar;26;Australia;72;72;Central Coast Mariners;Left;High/ Medium;No;LM;53;31;75;70;84;78;73;73;49;28;70
Fernando Bob;30;Brazil;72;72;Minnesota United FC;Left;Medium/ Medium;No;RDM;61;63;67;71;66;68;67;71;75;64;65
C. Bernardi;28;Argentina;72;72;Club Atlético Colón;Right;Medium/ Medium;No;RM;65;50;75;73;79;82;69;71;64;48;66
H. Dalsgaard;28;Denmark;72;72;Brentford;Right;High/ Medium;No;RB;58;62;66;67;77;68;67;70;73;68;52
G. Barry;37;England;72;72;West Bromwich Albion;Left;Medium/ Medium;Yes;CDM;56;69;68;76;30;43;74;47;74;74;72
J. Bottinelli;33;Argentina;72;72;Unión de Santa Fe;Left;Medium/ High;No;LCB;35;75;45;53;33;31;52;47;76;81;41
D. Dibusz;27;Hungary;72;73;;Right;Medium/ Medium;No;GK;15;18;16;20;27;21;19;19;36;20;19
I. Diomandé;25;Ivory Coast;72;77;Stade Malherbe Caen;Right;Medium/ High;No;CDM;47;67;67;69;63;66;73;74;75;77;42
Y. Al Shahrani;26;Saudi Arabia;72;74;Al Hilal;Right;High/ High;Yes;LB;48;53;67;70;87;80;68;78;58;64;62
N. Boilesen;26;Denmark;72;74;FC København;Left;High/ Medium;No;LB;42;67;67;71;73;72;66;76;68;66;45
S. Ben Youssef;29;Tunisia;72;73;Kasimpaşa SK;Right;Low/ Medium;No;LCB;38;67;50;53;61;32;60;73;85;75;36
G. Sara;30;Argentina;72;72;Club Atlético Lanús;Right;Medium/ Medium;No;GK;15;23;20;17;41;30;23;28;70;23;30
J. Otero;23;Colombia;72;79;Amiens SC;Right;Medium/ Medium;No;RM;76;65;70;70;89;81;75;76;78;36;61
A. Biyogo Poko;25;Gabon;72;76;Göztepe SK;Right;High/ High;No;RDM;58;60;76;74;75;72;69;87;69;91;53
L. Castellanos;34;Colombia;72;72;Independiente Santa Fe;Right;Medium/ Medium;No;GK;18;15;15;23;42;44;22;25;62;24;24
N. Maraš;22;Serbia;72;80;GD Chaves;Right;Medium/ Medium;No;RCB;38;71;51;60;66;65;48;72;73;71;32
T. Letschert;25;Netherlands;72;75;FC Utrecht;Right;Medium/ Medium;No;RCB;52;71;57;65;69;67;72;63;81;80;56
F. Fontanini;28;Argentina;72;73;Newell's Old Boys;Right;Medium/ Medium;No;LCB;34;78;49;50;32;58;56;71;80;71;42
A. Hruška;32;Czech Republic;72;72;Viktoria Plzeň;Right;Medium/ Medium;No;GK;12;12;13;19;28;22;19;21;47;16;18
Martos;34;Spain;72;72;Sporting de Charleroi;Right;Medium/ Medium;No;LCB;28;64;58;65;63;63;47;68;64;61;36
J. Jeanvier;25;France;72;76;Brentford;Right;Medium/ Medium;No;CB;30;73;44;60;68;68;46;72;81;72;42
J. Tagueu;24;Cameroon;72;75;Clube Sport Marítimo;Left;Medium/ Low;No;ST;71;73;72;70;70;69;67;70;73;32;52
C. Terzi;34;Italy;72;72;Spezia;Right;Medium/ High;No;RCB;29;70;44;58;32;47;59;77;77;75;61
I. Piris;29;Paraguay;72;72;Newell's Old Boys;Right;Medium/ Medium;No;RB;40;58;66;69;84;79;64;75;64;77;55
S. Moreira;23;France;72;78;Toulouse Football Club;Right;High/ Medium;No;RB;26;56;63;64;70;74;43;78;62;71;37
Aketxe;24;Spain;72;78;Cádiz CF;Left;Medium/ Medium;No;CAM;69;54;70;73;69;80;75;58;59;52;67
S. Rieks;31;Denmark;72;72;Malmö FF;Right;High/ High;No;LWB;73;49;72;74;74;80;70;70;66;45;51
F. Moubandje;28;Switzerland;72;72;Toulouse Football Club;Left;High/ Medium;No;LB;42;66;70;71;70;65;63;78;77;73;56
P. Ankersen;27;Denmark;72;72;FC København;Right;High/ Medium;No;RB;58;55;69;70;82;78;71;87;63;65;40
C. Falletti;25;Uruguay;72;75;Palermo;Right;High/ Medium;No;RF;60;47;77;78;79;86;69;76;62;42;64
Allano;23;Brazil;72;80;Bursaspor;Left;Medium/ Medium;No;RM;66;53;81;77;78;77;63;70;61;55;54
J. Morávek;28;Czech Republic;72;72;FC Augsburg;Right;Medium/ Medium;No;CM;66;58;75;74;50;74;70;48;66;64;69
C. Riaño;29;Argentina;72;72;Club Necaxa;Right;Medium/ Medium;No;ST;69;77;70;71;77;75;73;70;74;44;70
Aythami Artiles;32;Spain;72;72;Córdoba CF;Right;High/ Medium;No;LCB;58;76;50;59;31;57;38;73;82;76;36
J. Risdon;25;Australia;72;75;Western Sydney Wanderers;Right;Medium/ High;No;RB;48;53;64;68;78;63;50;85;79;71;43
E. Alioski;26;FYR Macedonia;72;73;Leeds United;Left;High/ High;No;LM;70;63;67;68;85;78;75;82;58;74;70
C. Robinson;23;Republic of Ireland;72;80;Preston North End;Right;High/ Medium;Yes;LM;73;63;74;72;85;83;65;64;65;46;61
S. Bastien;21;Belgium;72;81;Standard de Liège;Right;High/ Medium;No;CAM;52;54;78;78;78;78;67;78;53;70;65
João Talocha;28;Portugal;72;72;Boavista FC;Left;Medium/ Medium;No;LB;31;57;65;68;69;64;51;77;69;74;41
J. Pollersbeck;23;Germany;72;79;Hamburger SV;Right;Medium/ Medium;No;GK;12;12;14;19;24;22;16;22;63;20;22
M. Abeid;25;Algeria;72;74;Dijon FCO;Right;Medium/ Medium;Yes;CDM;67;44;75;74;60;67;75;68;76;76;62
M. Rzatkowski;28;Germany;72;72;New York Red Bulls;Left;Medium/ Medium;Yes;CM;60;39;73;72;77;82;70;86;56;63;49
Marcão;22;Brazil;72;78;GD Chaves;Right;Medium/ High;No;LCB;23;65;36;53;59;55;52;60;75;82;56
Álvaro;27;Spain;72;73;Real Zaragoza;Right;High/ High;No;ST;75;67;69;68;73;72;75;66;74;64;70
B. Perlaza;26;Colombia;72;75;Independiente Santa Fe;Right;Medium/ Medium;No;RDM;41;72;65;67;48;50;59;87;85;65;48
R. Sallai;21;Hungary;72;80;SC Freiburg;Right;Medium/ Medium;No;LW;70;49;76;75;76;68;64;58;54;59;56
B. Kamara;18;France;72;88;Olympique de Marseille;Right;Medium/ Medium;No;CB;30;68;62;73;70;56;52;76;72;76;63
T. Beugelsdijk;27;Netherlands;72;72;ADO Den Haag;Right;Medium/ High;No;CB;34;74;41;55;48;34;56;64;83;85;44
G. Giménez;26;Argentina;72;73;Vélez Sarsfield;Left;Medium/ Medium;No;RCM;62;63;75;74;55;64;72;75;85;65;55
K. Lafferty;30;Northern Ireland;72;72;Rangers FC;Right;Medium/ High;Yes;ST;71;76;66;67;67;63;76;71;80;82;74
L. Díaz;21;Colombia;72;83;Junior FC;Right;Medium/ Medium;No;LM;72;36;78;68;87;89;59;74;60;59;44
L. Benito;26;Switzerland;72;75;BSC Young Boys;Left;Medium/ Medium;No;LB;41;57;62;67;78;77;61;85;72;63;56
Raúl Lizoain;27;Spain;72;74;AD Alcorcón;Left;Medium/ Medium;Yes;GK;12;15;12;15;47;70;25;41;52;24;24
L. Reyes;27;Chile;72;73;Club Atlas;Right;Medium/ Medium;No;CDM;58;53;68;71;70;80;64;88;69;79;50
P. Bardsley;33;Scotland;72;72;Burnley;Right;Medium/ Medium;Yes;RB;47;69;66;70;57;65;83;72;76;85;56
Jonas Damasto;34;Brazil;72;72;Paraná;Left;High/ Low;No;LB;40;59;61;57;82;68;55;86;58;41;38
P. Da Silva;38;Paraguay;72;72;;Right;Low/ High;No;RCB;29;80;52;57;34;60;66;55;81;71;63
M. Rodríguez;23;Chile;72;78;U.N.A.M.;Right;Medium/ Medium;No;LM;70;51;73;71;92;86;68;66;64;58;40
J. Hugill;26;England;72;75;Middlesbrough;Right;High/ High;Yes;ST;72;80;67;67;69;61;73;84;85;92;62
Thiago Cionek;32;Poland;72;72;SPAL;Right;Medium/ High;No;RCB;22;66;46;56;67;65;31;62;83;68;39
A. Struna;27;Slovenia;72;73;Palermo;Right;Medium/ High;No;RCB;24;72;61;60;65;65;64;85;93;69;48
R. Salinas;30;Mexico;72;72;Deportivo Toluca;Right;High/ High;No;RB;62;61;69;70;69;63;74;78;70;70;73
Salva Sevilla;34;Spain;72;72;RCD Mallorca;Right;Medium/ Medium;No;LCM;59;53;70;74;44;55;79;56;62;57;71
Y. Bissouma;21;Mali;72;82;Brighton & Hove Albion;Right;High/ Medium;No;CM;50;60;75;74;74;72;80;64;67;64;58
M. Rohdén;27;Sweden;72;72;Crotone;Right;High/ Medium;No;CM;63;42;68;70;70;74;77;93;71;87;66
M. Demir;26;Turkey;72;74;Sivasspor;Right;High/ Low;No;ST;68;64;74;73;74;79;77;67;64;59;75
D. Lezcano;28;Paraguay;72;72;FC Ingolstadt 04;Right;High/ Medium;No;ST;71;70;72;73;81;79;71;77;67;82;72
J. Puncheon;32;England;72;72;Crystal Palace;Left;Medium/ Medium;Yes;CM;66;46;71;74;61;68;70;58;64;72;73
M. Abarhoun;29;Morocco;72;72;Moreirense FC;Right;Medium/ Medium;No;RCB;28;72;39;59;48;58;50;69;75;70;40
W. Owusu;28;Ghana;72;72;Royal Antwerp FC;Right;High/ High;No;ST;75;74;64;58;63;61;74;85;75;69;72
Rúben Fernandes;32;Portugal;72;72;Portimonense SC;Left;Medium/ Medium;No;LCB;39;72;47;62;61;62;65;76;75;76;58
E. López;23;Mexico;72;76;Guadalajara;Left;High/ Medium;No;CAM;68;41;78;76;76;85;76;70;48;32;61
O. Rivero;26;Uruguay;72;75;Club Atlas;Right;High/ Medium;No;ST;72;71;68;69;72;75;74;74;80;69;73
Joshuando Sá;34;Brazil;72;72;Santos;Left;Medium/ Medium;No;LB;41;67;63;61;71;55;44;70;72;71;53
